word,Composition_types,PoS,N_of_component,PoS_1component,PoS_2component,X1810s,X1820s,X1830s,X1840s,X1850s,X1860s,X1870s,X1880s,X1890s,X1900s,X1910s,X1920s,X1930s,X1940s,X1950s,X1960s,X1970s,X1980s,X1990s,X2000s,total
long-suffering,so,adj,2,adj,V-ing,1.69,1.15,1.38,0.62,1.34,1.64,1.89,1.38,1.46,1.09,1.37,0.97,1.14,1.36,1.79,1.13,0.92,1.07,0.79,1.22,25.38
all-powerful,so,adj,2,det,adj,0.85,1.59,0.94,0.93,1.46,1.17,2.26,1.48,1.75,1.49,1.32,1.01,1.14,1.19,1.3,1.08,1.3,1.54,0.97,0.54,25.32
all-time,rh,adj,2,det,noun,0,0,0,0,0,0,0,0,0.05,0,0,0.12,2.28,2.59,3.26,1.88,2.56,3.56,4.29,4.73,25.31
fine-looking,so,adj,2,adj,V-ing,0,0,1.89,1.68,3.1,2.58,2.69,1.92,2.62,1.45,1.32,1.01,0.69,0.57,0.73,0.79,0.55,0.79,0.32,0.54,25.25
bright-eyed,rh,adj,2,adj,N-ed,0.85,0.14,1.38,1.62,1.82,1.35,1.94,1.58,1.65,1.09,1.19,1.25,0.77,1.36,1.79,1.38,1.3,0.99,0.89,0.91,25.24
high-spirited,rh,adj,2,adj,N-ed,0.85,1.15,2.03,1.62,3.16,1.93,1.83,1.03,1.84,1.27,1.23,1.13,0.73,0.9,0.98,0.46,0.63,0.99,0.5,0.78,25.06
red-headed,rh,adj,2,adj,N-ed,0,0,0.73,0.5,0.55,1,0.48,1.23,1.7,2.49,3.66,3.12,3.09,1.36,2,1,0.67,0.47,0.36,0.41,24.8
blood-stained,so,adj,2,noun,V-ed,2.54,1.3,2.83,2.74,1.21,1.7,1.78,0.94,1.89,1.18,1.32,1.21,0.85,0.49,0.33,0.29,0.71,0.59,0.61,0.24,24.76
long-lost,so,adj,2,adj,V-ed,2.54,0.87,1.74,1.68,1.4,1.47,1.89,0.98,1.12,1,0.79,0.82,0.77,0.82,1.02,0.83,0.84,1.34,1.47,1.35,24.74
twentieth-century,rh,adj,2,num,noun,0,0,0,0,0,0,0,0.15,0.24,0.91,1.1,1.33,1.26,1.07,2.08,2.96,2.35,2.84,6.01,2.44,24.73
long-standing,so,adj,2,adj,V-ing,0,0,0.15,0.12,0.06,0.06,0.32,0.54,0.49,0.77,0.93,0.74,1.18,2.09,1.67,2.5,2.81,2.8,3.47,3.75,24.46
ever-present,rh,adj,2,adv,v,0,0.14,0.36,0.93,0.97,1.11,1.89,1.38,1.21,1.13,2.03,1.68,1.14,1.93,0.86,1,1.72,1.3,1.65,2,24.43
fund-raising,so,noun,2,noun,V-ing,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.53,2.53,4.38,5.16,3.59,5.37,2.74,24.43
blood-red,so,adj,2,noun,adj,0.85,0.29,1.09,3.24,1.46,1.76,1.19,1.38,1.8,1.4,1.06,1.09,0.81,0.78,1.1,0.46,0.67,0.91,1.32,1.52,24.17
full-fledged,so,adj,2,adj,V-ed,0,0.14,0,0.12,0.24,0.35,0.38,0.79,0.92,0.95,1.23,1.21,0.89,2.09,2.28,2.71,2.27,2.8,2.25,2.47,24.12
short-sighted,so,adj,2,adj,V-ed,0.85,1.88,0.94,2.18,2.43,1.52,1.67,2.61,2.04,1.18,1.72,0.97,0.81,0.82,0.53,0.21,0.34,0.55,0.32,0.34,23.91
ill-will,rh,adj,2,adj,noun,3.39,0.58,2.54,1.68,2.73,2.4,1.83,2.51,1.21,0.91,1.15,0.86,0.69,0.33,0.24,0.17,0.21,0.12,0.18,0.03,23.76
by-and-by,co,noun,3,prep,prep,0.85,0,1.74,1.81,3.58,3.75,3.5,3.89,2.09,1.27,0.09,0.12,0.41,0.16,0.16,0.08,0.04,0,0.14,0.03,23.72
new-found,so,adj,2,adj,V-ed,0,0.29,1.23,1.06,0.97,1.82,1.08,1.58,1.7,1.63,1.28,2.34,1.06,1.19,1.26,1.08,1.93,0.91,0.97,0.3,23.67
hard-boiled,so,adj,2,adv,V-ed,0,0,0.94,0,0.3,0.18,0.32,1.38,0.49,0.27,0.53,2.85,4.31,2.63,2.12,1.38,1.13,2.77,0.93,1.15,23.67
half-closed,so,adj,2,adv,V-ed,0,0.29,0.29,1.12,1.21,1.29,1.78,1.82,1.65,2.04,1.41,2.22,1.63,1.48,1.22,1.42,0.59,0.63,0.97,0.57,23.63
full-scale,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0.05,0,0,0.04,0.24,2.09,3.75,4.46,4.62,4.23,2.54,1.56,23.58
one-way,rh,adj,2,num,noun,0,0,0.07,0,0,0,0,0,0,0,0.13,0.78,1.26,1.56,3.14,2.92,2.77,3.67,3.4,3.82,23.53
home-made,so,adj,2,noun,V-ed,0,0.58,0.73,1.18,1.64,1.41,1.4,1.67,1.5,1.72,2.38,3.04,1.34,1.4,1.18,0.83,0.67,0.36,0.18,0.27,23.48
decision-making,so,noun,2,noun,V-ing,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.69,3.29,3.49,6.91,4.76,4.23,23.45
single-handed,rh,adj,2,adj,N-ed,0,0.72,1.09,1.56,1.03,1.11,0.97,1.53,1.99,1.99,2.55,2.73,1.46,0.66,1.06,0.79,0.88,0.63,0.32,0.2,23.29
high-level,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0.15,0.05,0.18,0.08,0.16,1.03,2.69,2.54,4.16,5.49,3.22,3.08,22.81
law-abiding,so,adj,2,noun,V-ing,0,0,0.07,0.31,0.73,0.23,1.08,1.82,2.28,1.58,1.59,1.91,1.75,1.52,1.39,1.84,1.43,1.22,0.97,1.08,22.8
open-air,rh,adj,2,adj,noun,0,0,0.07,0,0.06,0.41,1.19,0.89,1.41,2.26,1.85,1.48,1.5,0.94,1.55,1.63,0.76,1.82,2.51,2.4,22.72
warm-hearted,rh,adj,2,adj,N-ed,0,0.87,1.74,2.8,2.79,1.93,2.75,2.31,1.36,1.27,1.76,0.51,0.49,0.49,0.57,0.13,0.25,0.2,0.18,0.24,22.64
easy-chair,rh,adj,2,adj,noun,0,0.43,0.44,0.31,3.34,2.23,3.77,4.04,3.79,1.81,0.75,0.86,0.33,0.12,0.08,0.25,0,0,0.04,0,22.57
custom-house,rh,adj,2,noun,noun,0.85,1.01,2.76,2.55,3.52,2.46,2.53,1.97,1.99,1.67,0.79,0.23,0.16,0,0,0.04,0,0,0,0,22.55
school-boy,rh,adj,2,noun,noun,2.54,1.01,2.9,1.99,3.16,3.34,1.78,1.67,1.41,0.95,1.15,0.27,0.12,0.08,0,0.04,0,0.04,0.04,0.03,22.53
second-class,rh,adj,2,num,noun,0,0,0,0,0.73,0.64,1.62,0.69,1.55,1.95,2.07,0.7,0.93,1.15,2.65,2.42,2.31,1.03,1.22,0.81,22.47
deep-seated,so,adj,2,adj,V-ed,0,0,0.8,1.37,1.03,0.76,1.4,1.92,0.78,1.04,1.67,1.25,1.14,1.4,1.79,1.58,1.22,1.38,0.79,1.01,22.34
broad-shouldered,rh,adj,2,adj,N-ed,0,0,0.44,0.81,0.67,0.76,1.99,0.98,1.21,1.4,1.98,1.6,1.14,1.36,1.71,1,1.05,1.03,1.15,2,22.27
nation-wide,rh,adj,2,noun,adj,0,0,0,0,0,0,0,0,0,0.09,1.81,3.35,5.57,4.44,3.75,2.17,0.29,0.12,0.18,0.07,21.83
three-dimensional,NA,adj,2,num,adj,0,0,0,0,0,0,0,0,0,0.05,1.28,0.7,1.18,0.99,1.75,1.71,2.27,3.56,5.23,3.01,21.71
long-continued,so,adj,2,adv,V-ed,0.85,0.29,1.16,1.74,2.43,2.35,2.42,2.66,1.46,2.08,1.37,0.9,0.65,0.53,0.49,0.13,0.13,0,0.04,0,21.66
panic-stricken,so,adj,2,noun,V-ed,0,0,0.15,1.12,0.91,1.7,2.15,1.62,1.46,1.63,3.04,2.07,1.5,0.86,0.94,0.71,0.25,0.47,0.68,0.27,21.54
health-care,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.63,1.3,3.32,10.49,5.72,21.53
heart-rending,so,adj,2,noun,V-ing,1.69,3.03,3.78,2.99,1.21,1.11,1.99,0.94,0.92,0.5,0.44,0.39,0.33,0.45,0.37,0.08,0.34,0.16,0.39,0.1,21.21
snow-covered,so,adj,2,noun,V-ed,0,0,0.29,1,0.67,0.82,0.86,0.79,1.02,1.81,1.5,1.72,1.18,1.36,0.69,1.21,1.43,1.66,1.4,1.72,21.11
low-cost,rh,adj,2,adj,noun,0,0,0,0,0,0,0.05,0,0,0,0.18,0.27,1.54,2.18,2.12,2.29,1.34,3.24,4.51,3.35,21.08
black-eyed,rh,adj,2,adj,N-ed,1.69,0.72,1.02,1.31,1.03,2.11,1.45,1.23,1.26,0.63,1.19,1.09,0.65,0.7,0.61,1,0.55,0.43,1,1.39,21.07
hard-hearted,rh,adj,2,adj,N-ed,3.39,2.6,1.52,2.24,2.31,1.76,1.62,1.43,0.73,0.77,0.93,0.39,0.28,0.29,0,0,0.17,0.24,0.18,0.17,21
full-blown,so,adj,2,adj,V-ed,0,0.14,0.58,1.12,1.27,1.06,1.29,1.08,0.58,0.72,0.57,0.66,0.65,0.82,1.18,1.38,1.01,1.74,2.25,2.84,20.97
free-trade,rh,adj,2,adj,noun,0,0,0.15,0.93,7.53,1.35,1.19,0.94,1.17,0.91,0.66,0.39,0.24,0.33,1.26,0.42,0.55,1.11,1.04,0.81,20.95
left-handed,rh,adj,2,adj,N-ed,0,0,0.58,0.25,0.49,0.59,0.59,0.2,0.39,0.63,1.94,1.09,1.59,1.64,1.87,1.79,2.77,1.07,2.15,1.25,20.88
by-product,so,noun,2,prep,noun,0,0,0,0,0,0,0,0.1,0.15,0.91,2.78,3.2,1.95,3.08,1.55,2.09,1.01,1.03,1.61,1.42,20.85
good-nature,rh,adj,2,adj,noun,0,1.15,2.18,2.18,2.67,2.05,3.07,2.02,1.75,1.13,1.19,0.74,0.37,0.08,0.04,0.08,0.13,0,0,0,20.83
high-heeled,rh,adj,2,adj,N-ed,0.85,0,0.22,0.5,0.49,0.7,0.86,0.49,0.92,1.04,0.93,2.26,1.1,1.36,1.91,1.21,1.6,1.7,1.07,1.45,20.65
broad-brimmed,so,adj,2,adj,V-ed,0,0.43,1.45,2.18,1.21,2.05,1.51,2.22,1.31,1.04,1.5,0.94,0.85,0.66,0.77,0.38,0.42,0.51,0.39,0.71,20.54
slow-moving,so,adj,2,adj,V-ing,0,0,0.22,0.62,0.24,0.53,0.59,0.69,0.73,1.31,1.06,1.75,1.14,1.48,2.2,1.79,1.34,1.07,1.79,1.96,20.52
year-round,rh,adj,2,noun,adj,0,0,0,0,0,0,0,0,0,0.09,0.04,0.31,0.2,1.56,1.67,1.96,2.52,2.33,4.33,5.48,20.5
love-making,so,noun,2,noun,V-ing,0,0,0.15,0.25,0.24,0.7,3.07,2.61,1.65,1.45,1.72,2.03,1.14,0.94,1.3,0.88,0.97,0.36,0.79,0.2,20.44
half-naked,rh,adj,2,adj,N-ed,0,0.72,1.09,3.36,1.27,0.7,0.92,0.64,0.73,0.59,0.97,0.62,1.34,1.52,0.94,0.63,1.05,1.11,1.15,1.05,20.39
one-eyed,rh,adj,2,num,N-ed,0,0,1.31,1.56,1.21,2.17,0.81,0.69,1.12,1.22,0.62,0.78,1.91,1.4,1.06,0.88,0.88,0.87,0.75,1.12,20.34
long-drawn,so,adj,2,adj,V-ed,0,0.14,1.09,1.18,1.88,2.17,1.62,1.72,1.7,1.9,2.11,2.03,0.89,0.62,0.53,0.29,0.25,0.08,0.04,0.03,20.28
face-to-face,co,adj,3,,,0,0,0,0,0,0.06,0,0,0.05,0.14,0.31,0.19,1.14,1.4,1.02,1.84,1.55,2.53,3.9,6.16,20.27
light-years,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0,1.17,0.77,0.33,2.12,2.42,3.57,1.58,4.83,3.48,20.27
open-mouthed,rh,adj,2,adj,N-ed,0,0.43,0.29,0.75,0.61,0.64,1.35,1.28,1.21,1.58,1.81,1.33,1.54,0.94,1.3,1.29,0.71,1.22,0.97,0.98,20.25
out-of-doors,rh,adv,3,,,0.85,0,0,0.06,0.12,1.06,1.35,2.9,1.46,2.26,2.6,2.53,0.93,0.7,1.18,0.33,0.38,0.47,0.5,0.2,19.89
good-for-nothing,rh,adj,3,,,1.69,0.72,1.45,2.24,0.97,1.82,2.21,1.43,0.97,0.72,1.06,0.78,0.69,0.78,0.77,0.42,0.25,0.4,0.39,0.1,19.87
long-time,rh,adj,2,adj,noun,0.85,0,0,0,0.18,0.18,0.05,0.2,0.19,0.18,0.57,0.86,1.95,1.48,2.04,2.88,3.53,1.66,1.61,1.45,19.86
long-legged,rh,adj,2,adj,N-ed,0,0,0.65,1.12,0.91,0.76,0.48,1.13,1.31,1.27,1.54,1.25,1.42,1.11,1.55,0.92,1.34,1.11,0.86,1.12,19.85
best-selling,so,adj,2,adj,V-ing,0,0,0,0,0,0,0,0,0.05,0.14,0.13,0.23,1.22,2.38,0.81,1,1.01,3.12,5.12,4.5,19.71
high-powered,rh,adj,2,adj,N-ed,0,0,0,0,0,0,0,0.05,0.1,0.23,0.57,1.95,2.03,1.6,1.87,2.17,2.02,2.01,2.29,2.71,19.6
rose-colored,rh,adj,2,noun,N-ed,0,0,0.8,0.75,2.25,1.35,2.59,1.03,1.41,1.22,0.7,1.09,0.89,0.78,0.81,0.75,0.63,0.79,0.82,0.78,19.45
poverty-stricken,so,adj,2,noun,V-ed,0,0.14,0.51,1.31,1.7,0.88,1.08,1.13,1.07,1.27,1.15,1.4,1.71,1.27,0.9,1.29,0.97,0.71,0.54,0.41,19.42
white-faced,rh,adj,2,adj,N-ed,0,0.29,0.15,0.31,0.24,0.35,0.7,0.89,0.97,2.04,1.59,2.42,1.99,1.68,1.63,0.79,0.8,1.07,0.75,0.57,19.22
all-night,rh,adj,2,det,noun,0,0,0.07,0,0.06,0,0.32,0.25,0.39,0.68,0.88,1.68,1.42,2.14,1.26,1.96,2.44,1.58,2.08,1.93,19.13
absent-minded,rh,adj,2,adj,N-ed,0,0.14,0.07,0.31,1.03,0.59,1.45,1.23,1.65,1.99,1.72,1.56,1.71,1.52,1.22,1.29,0.67,0.43,0.29,0.2,19.09
fair-haired,rh,adj,2,adj,N-ed,0,0.43,0.87,1.31,1.7,1.47,1.94,0.89,1.02,1.86,0.88,1.13,0.89,0.74,0.69,0.67,0.42,0.99,0.39,0.78,19.06
well-fed,so,adj,2,adv,V-ed,0,0,0.44,1.12,0.73,0.88,0.65,1.38,1.17,0.91,1.06,1.13,1.22,2.14,1.3,1.25,0.92,0.75,0.89,1.12,19.04
high-born,so,adj,2,adj,V-ed,2.54,1.3,2.11,2.24,2.49,1.11,1.56,1.13,1.41,0.77,0.66,0.39,0.12,0.16,0.2,0.17,0.08,0.2,0.14,0.2,19
half-starved,so,adj,2,adv,V-ed,0.85,1.44,1.23,0.93,2.06,1.82,1.56,1.13,1.31,1.36,1.1,0.55,0.93,0.62,0.57,0.08,0.46,0.4,0.14,0.34,18.89
two-way,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0,0,0,0.12,0.77,1.89,2.4,2.84,1.97,2.37,3.4,3.04,18.81
tell-tale,rh,adj,2,v,noun,1.69,1.01,1.02,1.12,2,1.52,1.35,2.02,1.26,1.72,1.01,0.94,0.65,0.21,0.2,0.17,0.34,0.2,0.21,0.14,18.77
high-priced,rh,adj,2,adj,N-ed,0,0,0,0,0.18,0.12,0.27,0.79,0.49,1.22,1.37,1.44,1.42,1.89,1.51,1.33,1.26,2.05,1.65,1.76,18.74
full-page,rh,adj,2,adj,noun,0,0,0,0.06,0,0,2.05,0.98,1.17,1.58,1.5,0.58,1.14,1.44,1.02,2.34,1.68,1.07,1.25,0.85,18.7
soft-spoken,so,adj,2,adj,V-ed,0,0.14,0.07,0,0.12,0.18,0.22,0.15,0.15,0.18,0.22,0.66,1.18,1.52,1.18,2.29,2.69,2.77,2.4,2.57,18.68
ill-natured,rh,adj,2,adj,N-ed,1.69,1.15,1.45,1.25,3.1,1.82,2.15,1.53,1.46,0.68,0.48,0.7,0.12,0.37,0.33,0.13,0,0.04,0.04,0.1,18.58
black-haired,rh,adj,2,adj,N-ed,0,0,0,1,0.18,0.59,0.59,0.79,0.83,1.36,0.79,0.94,2.44,2.05,1.67,0.96,1.13,0.95,1.5,0.81,18.58
knee-deep,so,adj,2,noun,adj,0,0,0.58,0.44,0.61,1.47,1.35,0.98,1.31,0.68,1.28,1.05,0.98,1.03,1.06,1.08,1.13,1.19,0.82,1.52,18.55
white-collar,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0.09,0.35,2.8,1.85,1.96,1.46,2.31,3.2,2.25,2.2,18.47
after-dinner,rh,adj,2,prep,noun,0,0,0.36,0.56,0.73,0.88,1.29,1.33,1.7,1.45,1.45,1.91,1.26,0.94,0.77,0.71,1.01,0.47,0.61,0.98,18.42
empty-handed,so,adj,2,adj,V-ed,0.85,0,0.36,0.69,0.3,0.47,1.56,0.89,1.17,0.86,0.97,1.33,1.1,0.82,0.94,0.83,1.68,1.07,1.25,1.29,18.41
age-old,so,adj,2,noun,adj,0,0,0,0,0,0.06,0,0,0,0.18,1.32,2.14,1.75,1.64,2,2.13,1.64,1.78,1.83,1.89,18.35
life-time,rh,adj,2,noun,noun,0.85,0.72,2.47,2.31,2.25,1.29,2.1,2.12,0.68,0.72,1.15,0.51,0.24,0.12,0.24,0,0.25,0.08,0.07,0.14,18.3
mail-order,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0.36,0.84,1.48,1.75,1.56,1.14,1.92,2.27,2.53,2.65,1.79,18.28
medium-sized,rh,adj,2,adj,N-ed,0,0,0,0,0.18,0.12,0.11,0.94,0.53,0.54,0.88,0.7,1.46,2.22,1.39,1.75,1.81,2.17,2.25,1.22,18.27
passer-by,so,noun,2,noun,prep,0,0,1.38,1.25,0.97,1.35,1.56,1.33,1.8,1.63,1.67,1.36,0.57,0.62,1.02,0.71,0.42,0.16,0.07,0.1,17.96
off-hand,rh,adv,2,prep,noun,0,0.72,1.52,1.74,1.58,1.23,1.78,2.26,1.36,1.36,0.97,1.05,0.53,0.53,0.41,0.33,0.17,0.28,0.07,0,17.9
air-conditioned,rh,adj,2,noun,N-ed,0,0,0,0,0,0,0,0,0,0,0,0.04,0.89,1.72,2.61,3.71,2.52,1.7,2.43,2.27,17.9
know-how,rh,adj,2,v,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.08,2.55,3.87,3,1.85,2.09,1.93,2.4,17.78
spring-time,rh,adj,2,noun,noun,0.85,0.29,1.6,2.12,3.04,2.29,1.4,2.36,2.09,0.77,0.35,0.35,0,0.04,0.04,0,0.04,0,0.04,0,17.66
box-office,rh,adj,2,noun,noun,0,0,0.15,0,0,0.18,0.05,0.2,0.19,0.36,0.35,1.25,2.07,1.85,2.81,1.21,1.26,2.33,1.4,2,17.65
first-hand,rh,adj,2,num,noun,0,0,0,0,0.06,0,0.22,0.3,0.73,1.31,2.51,2.57,1.95,1.72,1.3,1.04,1.34,0.71,0.89,0.74,17.41
long-haired,rh,adj,2,adj,N-ed,0,0,0.15,0.87,0.12,0.53,0.97,0.25,0.63,1.31,0.66,1.13,0.77,1.48,0.61,1.21,3.23,0.79,1.43,1.25,17.39
half-open,NA,adj,2,adv,adj,0,0,0.65,0.25,1.34,0.94,1.51,1.33,0.92,0.77,0.66,0.78,1.1,1.19,0.69,1.33,1.09,0.83,1.07,0.91,17.37
civil-rights,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,2.12,7.97,2.18,1.58,2,0.78,17.21
high-ranking,so,adj,2,adj,V-ing,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.28,1.97,2,2.17,3.49,3.28,1.65,2.23,17.15
life-giving,so,adj,2,noun,V-ing,0,0.29,1.6,0.93,1.46,1.41,1.13,1.28,1.55,1.09,0.97,0.62,0.41,0.62,0.73,0.5,0.59,0.51,0.72,0.71,17.11
high-handed,rh,adj,2,adj,N-ed,1.69,0.72,1.67,1.18,0.36,0.94,0.86,0.98,0.73,0.86,1.19,1.33,0.89,0.74,0.45,0.63,0.71,0.55,0.29,0.14,16.92
easy-going,so,adj,2,adj,V-ing,0,0.14,0.07,0.19,0.06,0.41,0.54,1.43,2.09,2.17,2.03,1.91,1.67,1.03,0.9,0.79,0.34,0.4,0.54,0.24,16.92
clean-cut,rh,adj,2,adj,noun,0,0,0,0.12,0.06,0,0.27,0.2,0.87,1.54,1.89,2.42,1.34,1.15,1.87,1.58,1.13,0.91,0.5,0.98,16.85
blue-green,co,adj,2,adj,adj,0,0,0,0,0.12,0,0.32,0.25,0.24,0.41,0.75,1.21,1.14,1.64,1.83,1.25,0.97,1.78,2.4,2.5,16.81
single-minded,rh,adj,2,adj,N-ed,0,0.29,0.65,0.25,0.55,0.47,0.22,0.25,0.68,0.77,0.4,0.62,0.49,0.7,1.14,1.84,1.6,2.53,1.79,1.59,16.8
far-flung,so,adj,2,adv,V-ed,0,0,0,0.06,0,0,0,0,0,0.05,0.48,1.6,1.71,2.3,2.28,1.21,1.22,1.38,2.15,2.37,16.8
ill-advised,so,adj,2,adj,V-ed,0,0.29,1.09,1.06,0.91,0.41,0.48,1.13,0.83,0.63,1.15,1.01,0.85,1.15,0.73,1.17,1.13,1.03,0.79,0.91,16.76
avant-garde,co,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,1.87,2.96,1.55,4.31,3.65,2.23,16.74
public-spirited,rh,adj,2,adj,N-ed,0,0.29,0.65,0.69,0.73,1.11,0.92,1.08,1.94,1.58,1.45,1.33,1.79,0.82,0.41,0.42,0.5,0.4,0.47,0.17,16.74
ill-timed,rh,adj,2,adj,N-ed,3.39,2.17,1.52,0.69,1.27,0.82,0.92,0.39,0.44,0.86,0.62,0.58,0.37,0.49,0.53,0.38,0.63,0.2,0.18,0.3,16.74
high-toned,rh,adj,2,adj,N-ed,0,0.87,1.16,0.5,1.27,1.11,2.05,3.25,1.36,0.95,0.93,0.27,0.45,0.53,0.57,0.21,0.5,0.4,0.18,0.17,16.73
door-step,rh,adj,2,noun,noun,0,0.72,1.02,1.99,2.06,1.76,1.83,1.82,1.41,1.99,1.06,0.66,0.28,0.04,0,0,0,0,0.04,0,16.69
air-conditioning,rh,adj,2,noun,V-ing,0,0,0,0,0,0,0,0,0,0,0,0.27,0.53,0.86,1.67,1.46,1.85,2.09,2.97,4.97,16.68
much-needed,so,adj,2,det,V-ed,0,0,0.07,0,0.12,0.23,0.54,0.94,0.68,1.18,1.37,1.36,0.85,1.31,1.3,1.25,0.92,0.99,1.43,2.13,16.68
one-room,rh,adj,2,num,noun,0,0,0,0,0,0,0,0.2,0.53,0.41,0.44,0.9,1.06,1.56,2.12,1.88,1.85,1.74,1.79,2.2,16.66
dry-goods,rh,adj,2,adj,noun,0,0,0.15,1.5,0.49,1.99,1.83,1.53,2.48,1.58,1.54,0.62,0.37,0.53,0.53,0.5,0.29,0.2,0.25,0.27,16.64
hard-pressed,so,adj,2,adj,V-ed,0,0.14,0.15,0.12,0.12,0.29,0.48,0.25,0.34,0.27,0.84,0.35,0.81,1.64,1.59,1.88,2.02,1.78,1.75,1.79,16.62
high-backed,so,adj,2,adj,V-ed,0,0,0.36,1.06,1.46,1,0.81,1.18,1.02,1.18,1.01,0.62,1.14,0.99,0.53,1.29,0.42,0.87,0.89,0.74,16.57
big-time,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.89,1.6,2.44,1.88,1.39,1.62,3.22,3.52,16.56
all-pervading,so,adj,2,det,V-ing,0,0.43,1.6,2.55,1.27,1.64,1.13,1.03,1.36,1.4,0.88,0.78,0.49,0.37,0.33,0.38,0.46,0.12,0.11,0.03,16.37
above-mentioned,so,adj,2,prep,V-ed,0,0.43,1.67,1.06,1.27,1,1.19,0.74,1.17,1.58,1.1,0.9,0.61,0.49,0.98,0.54,0.84,0.08,0.11,0.54,16.29
hard-earned,so,adj,2,adv,V-ed,2.54,0.14,1.16,0.62,0.85,0.53,0.75,0.64,0.83,0.77,1.19,0.43,0.65,0.33,0.53,0.29,0.92,0.71,1.11,1.25,16.25
wild-eyed,rh,adj,2,adj,N-ed,0,0,0.07,0.06,0.06,0.18,0.43,0.64,0.78,1.09,1.01,1.44,1.18,1.36,1.06,1.08,1.39,1.66,1.43,1.29,16.2
front-page,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0.05,0.09,0.66,1.63,1.44,1.83,1.63,2.1,2.61,2,2.1,16.13
hand-to-hand,co,adj,3,noun,noun,0,0,0.29,0.12,0.36,1.41,0.97,0.54,1.21,1.18,1.59,1.4,0.45,1.19,0.9,1,1.01,1.03,0.54,0.85,16.03
hand-to-hand,co,adj,3,,,0,0,0.29,0.12,0.36,1.41,0.97,0.54,1.21,1.18,1.59,1.4,0.45,1.19,0.9,1,1.01,1.03,0.54,0.85,16.03
real-life,rh,adj,2,adj,noun,0,0,0,0,0,0,0.05,0.05,0,0,0,0.04,0.08,0.7,1.02,1.25,1.93,2.25,3.54,5.11,16.02
spell-bound,so,adj,2,noun,V-ed,0.85,1.59,2.25,2.93,1.46,1.35,1.4,1.03,1.21,0.77,0.44,0.51,0.08,0,0,0.04,0.04,0,0,0,15.95
high-pressure,rh,adj,2,adj,noun,0,0,0.29,0.31,0.36,0.35,0.27,0.44,0.24,0.27,0.09,0.62,3.09,1.44,1.87,1.21,1.51,1.5,1.07,0.98,15.93
fair-minded,rh,adj,2,adj,N-ed,0,0.43,0.73,1.56,2.49,2.17,2.8,2.22,0.92,0.68,0.57,0.82,0.2,0.04,0.12,0,0.08,0.04,0,0,15.87
