word,Composition_types,PoS,N_of_component,PoS_1component,PoS_2component,X1810s,X1820s,X1830s,X1840s,X1850s,X1860s,X1870s,X1880s,X1890s,X1900s,X1910s,X1920s,X1930s,X1940s,X1950s,X1960s,X1970s,X1980s,X1990s,X2000s,total
high-quality,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.12,0.82,1.18,1.33,0.88,2.49,4.51,4.43,15.85
next-door,rh,adj,2,adj,noun,0,0,0.58,0.31,0.3,0.47,0.92,0.79,0.68,0.68,0.7,0.62,0.73,0.9,1.02,0.63,1.22,1.26,1.83,2.13,15.77
three-cornered,rh,adj,2,num,N-ed,0,0.29,1.02,1.87,1.21,0.76,0.65,1.03,0.97,1.4,0.97,1.33,1.3,0.78,0.69,0.75,0.17,0.28,0.18,0.1,15.75
old-age,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0.1,1.54,0.62,0.43,5.89,2.14,2.04,1.21,0.84,0.43,0.32,0.17,15.72
wrought-iron,rh,adj,2,V-ed,noun,0,0,0.07,0.12,0.49,0.59,0.22,0.64,0.49,0.18,0.26,0.82,1.02,1.03,1.1,1.38,1.3,1.38,2.04,2.6,15.72
inner-city,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.58,2.18,3.59,5.15,3.89,15.65
blue-black,co,adj,2,adj,adj,0,0,0.07,0,0.18,0.18,1.02,0.2,0.63,1.09,1.06,0.9,1.38,1.07,1.34,1.42,1.3,1.15,1.43,1.18,15.6
life-size,rh,adj,2,noun,noun,0,0,0,0.06,0.24,0.23,0.97,1.23,0.68,0.5,0.48,0.51,0.89,0.9,1.26,1.08,1.13,1.5,2.08,1.69,15.46
income-tax,rh,adj,2,noun,noun,0,0,0,0.06,0,0.12,0.43,1.72,0.29,0.14,0.22,0.74,1.95,1.93,2.69,1.71,1.34,1.11,0.68,0.27,15.4
narrow-minded,rh,adj,2,adj,N-ed,0,0.72,0.94,1.18,1.03,1.41,1.35,1.08,1.21,0.91,0.7,1.01,0.33,0.33,0.33,0.46,0.63,0.83,0.54,0.41,15.4
point-blank,rh,adv,2,noun,adj,0,0,0.65,0.31,0.24,0.53,0.97,1.33,0.63,0.81,0.84,1.25,0.85,1.23,1.06,1,0.67,1.19,0.79,0.91,15.27
far-seeing,so,adj,2,adv,V-ing,0,0,0.36,0.69,1.64,1.93,1.08,1.72,1.46,1.45,1.41,0.78,0.77,0.66,0.41,0.38,0.17,0.12,0.11,0.14,15.26
low-lying,so,adj,2,adj,V-ing,0,0,0,0,0.18,0.82,0.54,0.89,1.02,0.86,1.5,1.25,1.14,0.78,1.22,1.08,0.71,0.75,1.11,1.25,15.1
foreign-born,so,adj,2,adj,V-ed,0,0,0,0.06,0.06,0.23,0.11,1.77,1.17,0.86,2.2,1.56,1.67,1.85,0.33,0.42,0.46,0.55,0.86,0.81,14.97
motion-picture,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0.62,1.75,3.21,3.82,2.32,1.42,0.8,0.55,0.39,0.07,14.95
never-failing,rh,adj,2,adv,V-ing,1.69,1.01,1.23,1.25,1.27,1.29,1.08,1.08,1.17,1,0.84,0.9,0.33,0.16,0.37,0.08,0.08,0.08,0,0,14.91
heart-shaped,so,adj,2,noun,V-ed,0,0.14,0.15,1.87,0.36,0.41,0.32,0.25,0.15,1.18,0.09,0.39,0.61,1.15,0.98,1.25,1.47,0.75,1.54,1.83,14.88
matter-of-factly,rh,adv,3,,,0,0,0,0,0,0,0,0,0.05,0.09,0.26,0.39,0.45,1.56,2,2.17,2.02,1.7,2.25,1.93,14.86
stained-glass,rh,adj,2,V-ed,noun,0,0,0,0.06,0.24,0.06,0.32,0.2,0.97,0.68,0.75,0.74,0.49,0.86,1.18,1.88,0.88,1.9,1.79,1.86,14.86
dinner-time,rh,adj,2,noun,noun,0,0,0.44,1.12,2.06,1.99,1.89,2.22,1.99,0.77,0.97,0.55,0.24,0.29,0.08,0.04,0.04,0.08,0.07,0,14.84
labor-saving,so,adj,2,noun,V-ing,0,0.43,0.51,1.12,0.85,1.47,1.83,0.59,0.83,0.77,0.66,1.29,1.26,0.94,0.61,0.67,0.42,0.32,0.11,0.17,14.84
good-humoredly,rh,adj,2,adj,adv,0,0,0.22,0.31,1.46,1.88,1.62,1.53,1.36,0.63,1.32,1.56,0.61,0.74,0.29,0.38,0.34,0.32,0.25,0.03,14.82
pale-faced,rh,adj,2,adj,N-ed,0.85,0.29,0.87,1.31,0.85,1.06,1.62,1.38,1.5,1.13,0.48,0.58,0.61,0.21,0.45,0.25,0.42,0.36,0.39,0.2,14.81
little-known,so,adj,2,adj,V-ed,0,0,0,0.19,0,0.06,0.05,0.1,0.58,0.23,0.44,0.58,0.73,0.99,1.22,1.38,1.89,2.13,2.04,2.16,14.77
blue-collar,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.88,3.15,5.25,2.4,2.98,14.73
time-consuming,so,adj,2,noun,V-ing,0,0.14,0.07,0,0.06,0,0,0,0,0,0.09,0.51,0.28,0.7,1.1,2,1.55,1.98,3.33,2.91,14.72
late-night,rh,adj,2,adj,noun,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.08,0.12,0.29,1.47,2.33,4.33,6.02,14.71
law-enforcement,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0.05,0.05,0.04,0.08,0.85,0.57,0.9,2.54,3.02,2.92,2.18,1.45,14.67
native-born,so,adj,2,adj,V-ing,0,0,0.51,0.62,0.91,1.23,0.59,0.69,0.83,0.54,0.75,1.4,0.89,0.9,0.65,0.96,0.63,0.83,0.89,0.74,14.58
many-colored,rh,adj,2,det,N-ed,0,0.14,0.94,2.06,1.82,1.99,1.29,1.03,0.63,0.77,0.75,0.74,0.45,0.49,0.29,0.33,0.29,0.28,0.11,0.1,14.51
out-of-town,rh,adj,3,,,0,0,0,0,0.06,0,0.27,0.3,0.29,0.32,0.84,1.21,1.71,1.52,1.63,1.38,1.3,1.58,0.97,1.15,14.51
double-breasted,so,adj,2,adj,V-ed,0,0,0.15,0.25,0.3,0.18,0.27,0.3,0.24,0.18,0.35,0.62,0.73,1.97,1.83,0.96,1.22,2.77,1,1.18,14.5
bald-headed,rh,adj,2,adj,N-ed,0,0.14,0.29,0.87,0.42,0.29,1.24,1.82,1.07,0.91,1.06,1.09,1.02,0.7,1.1,0.67,0.5,0.4,0.43,0.44,14.46
public-relations,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0.04,0.98,0.94,2.08,3.38,2.56,2.33,1.25,0.88,14.44
latter-day,rh,adj,2,adj,noun,0,0,0.07,0.06,0.12,0.41,0.32,0.39,0.58,1.54,1.37,0.7,0.81,0.49,1.14,1.21,1.26,1.58,1.5,0.85,14.42
roll-call,so,noun,2,noun,v,0,0,0.29,0.31,0.12,1.17,0.75,1.38,0.97,0.81,0.93,1.01,1.91,1.07,1.14,1.63,0.38,0.32,0.18,0.03,14.4
pocket-handkerchief,rh,adj,2,noun,noun,0,0.58,1.67,2.37,2,1.11,1.51,0.94,3.5,0.18,0.18,0.16,0.04,0.08,0,0.04,0,0,0,0,14.35
full-blooded,rh,adj,2,adj,N-ed,1.69,0.14,1.16,0.62,0.67,1.23,0.48,0.84,1.26,0.86,0.84,0.9,0.53,0.37,0.65,0.54,0.25,0.43,0.21,0.61,14.3
dark-skinned,rh,adj,2,adj,N-ed,0,0.14,0.07,0.44,0.3,0.29,0.38,0.64,0.83,0.72,0.84,1.13,0.61,0.74,1.18,0.88,1.01,0.87,1.57,1.59,14.23
far-sighted,so,adj,2,adv,V-ed,0,0,0.65,0.69,1.46,1.23,0.65,1.48,0.92,1.04,1.45,1.21,0.77,0.57,0.41,0.5,0.34,0.43,0.36,0.07,14.23
cream-colored,rh,adj,2,noun,N-ed,0,0,0.22,0.12,0.42,0.35,0.27,0.39,0.29,0.14,0.66,0.62,0.81,1.52,1.34,1,0.97,1.38,1.4,2.27,14.18
table-spoonful,NA,noun,2,noun,noun,0,0,4.21,0,0,0.18,0.81,8.86,0,0,0,0.04,0,0,0,0,0.04,0.04,0,0,14.18
deep-rooted,rh,adj,2,adj,N-ed,0.85,0.58,1.31,0.37,0.36,0.35,0.54,0.74,0.44,0.77,0.88,0.78,0.93,0.94,0.69,1.38,0.29,0.91,0.32,0.64,14.08
high-class,rh,adj,2,adj,noun,0,0,0,0,0,0,0.22,0.34,0.68,1.58,1.85,1.44,1.46,1.15,1.18,0.92,1.05,0.63,0.72,0.81,14.04
heart-breaking,so,adj,2,noun,V-ing,1.69,0.72,0.65,0.06,0.3,0.59,1.4,1.38,1.36,1.49,0.88,1.17,0.77,0.74,0.16,0.21,0.17,0.04,0.14,0.07,14
two-fold,rh,adj,2,num,noun,0.85,0.72,1.23,1.81,2.67,0.94,0.32,0.44,0.63,0.59,0.66,0.35,0.53,0.57,0.53,0.42,0.17,0.16,0.32,0.07,13.98
clean-shaven,so,adj,2,adj,V-ed,0,0,0,0,0,0.06,0.43,0.79,1.02,1.18,2.07,1.17,0.77,0.62,0.9,0.79,0.92,1.03,1.04,1.15,13.93
awe-struck,so,adj,2,noun,V-ed,0.85,1.88,1.31,1.12,1.21,1.23,1.29,0.84,1.07,0.81,0.53,0.62,0.41,0.12,0.16,0.17,0.04,0.12,0,0.14,13.92
terror-stricken,so,adj,2,noun,V-ed,0,0.29,0.44,1.31,1.15,0.59,1.51,0.98,1.55,1.49,1.06,1.05,0.81,0.57,0.37,0.08,0.25,0.2,0.11,0.07,13.88
million-dollar,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0.05,0.54,0.48,1.09,1.06,1.27,1.59,0.96,1.22,1.9,1.22,2.44,13.81
half-hearted,rh,adj,2,adj,N-ed,0,0,0,0,0.06,0.06,0.38,1.03,1.12,1.76,1.23,1.52,1.38,0.9,0.65,1.13,0.76,0.63,0.64,0.54,13.8
low-fat,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.08,0.34,1.5,6.44,5.38,13.78
public-school,rh,adj,2,adj,noun,0,0,0,0.06,0.18,0.12,0.86,0.49,0.78,0.54,1.72,0.7,1.22,1.11,1.67,1.29,0.8,1.03,0.79,0.41,13.76
story-teller,rh,adj,2,noun,noun,0,0.29,0.73,0.44,0.85,0.53,1.02,2.12,3.16,1.67,1.28,0.51,0.2,0.29,0.08,0.08,0.34,0.04,0.14,0,13.76
ever-changing,so,adj,2,adv,V-ing,0,0.14,0.87,0.75,0.61,0.35,0.7,0.59,0.92,0.81,0.7,0.7,0.53,0.49,0.57,0.75,0.63,0.79,1.29,1.56,13.76
men-of-war,so,noun,3,,,0,0.29,0.8,1.06,0.42,1.29,0.75,0.84,2.52,1.49,0.84,0.82,0.41,0.49,1.02,0.17,0.17,0.08,0.11,0.1,13.67
all-purpose,rh,adj,2,det,noun,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.25,0.41,0.96,1.43,1.58,3.15,5.68,13.49
pick-up,rh,noun,2,v,adv,0,0,0,0,0,0,0,0,0.05,0,0.09,0.47,1.79,1.4,2.12,1.88,1.43,1.38,1.61,1.29,13.49
strong-minded,rh,adj,2,adj,N-ed,0,0.14,0.22,0.31,1.7,2.4,1.94,0.89,0.34,0.77,0.48,0.58,0.45,0.62,0.33,0.71,0.34,0.4,0.32,0.54,13.47
wrong-doing,so,adj,2,noun,V-ing,0,0,0.15,0.69,0.91,1.47,2.05,2.26,1.75,1.45,1.01,0.82,0.37,0.12,0.04,0.08,0.13,0,0,0.07,13.35
sky-blue,so,adj,2,noun,adj,0,0.43,0.8,0.93,1.21,1,0.65,0.49,0.44,0.5,0.26,1.01,0.57,0.57,0.81,0.58,0.46,0.79,1,0.68,13.2
prime-time,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,2.98,3.87,3.19,2.37,13.07
true-hearted,rh,adj,2,adj,N-ed,0,0.29,2.18,1.87,2.85,1.99,1.19,1.18,0.44,0.45,0.22,0.16,0.04,0.12,0,0,0,0.04,0.04,0,13.05
rear-guard,rh,adj,2,adj,noun,0,0.87,0.87,0.25,1.52,1.7,1.4,0.64,1.46,0.86,0.44,0.27,0.61,0.66,0.41,0.29,0.25,0.24,0.11,0.17,13.01
new-made,so,adj,2,adj,V-ed,0.85,0.43,1.23,1.25,1.58,1.58,1.29,1.03,0.83,0.59,0.75,0.31,0.2,0.16,0.29,0.08,0.17,0.2,0.07,0.1,13
free-lance,rh,verb,2,adj,noun,0,0,0,0,0,0,0,0.1,0.05,0.18,0.09,0.7,0.57,1.19,0.98,1.13,2.31,2.09,2.54,1.05,12.97
hip-hop,co,noun,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,3.61,9.2,12.93
school-girl,rh,adj,2,noun,noun,0,0,0.51,0.5,1.64,1.93,2.26,2.61,0.97,0.72,0.88,0.47,0.16,0.04,0.08,0.04,0,0,0.07,0,12.89
topsy-turvy,co,adj,2,adj,adj,0,0.14,0.73,1,0.24,0.94,0.59,0.59,0.53,1.31,1.06,1.17,0.77,0.86,0.53,0.46,0.5,0.51,0.29,0.61,12.84
fast-food,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,3.83,3.83,3.79,12.83
long-awaited,so,adj,2,adv,V-ed,0,0,0,0,0,0.12,0.05,0,0.05,0.14,0.35,0.51,0.89,1.31,0.94,1.71,1.55,2.05,1.72,1.29,12.68
long-established,so,adj,2,adj,V-ed,0,0,0.29,0.69,0.91,0.82,0.38,0.3,0.39,0.59,0.88,0.97,0.98,0.9,1.34,0.88,0.5,0.67,0.54,0.61,12.63
upper-class,rh,adj,2,adj,noun,0,0,0,0,0,0.06,0.16,0.15,0,0.27,0.35,0.27,0.69,1.11,1.63,2.04,2.14,1.62,0.86,1.25,12.61
second-floor,rh,adj,2,num,noun,0,0,0,0,0,0.12,0,0.05,0.1,0.09,0.09,0.27,0.73,0.82,1.3,1.13,1.39,2.29,2.08,2.1,12.55
aide-de-camp,so,noun,3,noun,noun,0,0.29,0.51,0.12,1.27,1.41,1.56,0.54,1.7,0.91,0.4,0.74,0.61,0.45,0.33,0.42,0.63,0.12,0.21,0.27,12.49
high-strung,so,adj,2,adj,V-ed,0,0.14,0,0.06,0.06,0.53,0.54,0.49,0.39,0.86,0.97,1.05,0.93,1.23,0.98,1,0.67,0.87,1,0.68,12.46
grass-roots,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0.09,0,0.04,0.04,0.37,0.98,0.88,1.64,3.16,3.33,1.89,12.41
deep-sea,rh,adj,2,adj,noun,0,0,0,0,0.06,0.29,0.65,0.59,0.83,0.32,0.53,1.29,0.81,1.07,0.77,1.04,0.84,1.11,0.97,1.25,12.41
best-seller,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0.13,0.27,1.02,1.72,1.3,0.79,0.8,1.34,2.68,2.33,12.4
new-fangled,so,adj,2,adj,V-ed,0,0.72,0.51,1,0.24,0.76,1.13,0.89,1.07,1.4,1.1,1.05,0.69,0.57,0.16,0.42,0.25,0.16,0.11,0.1,12.34
first-aid,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0,0.18,0.93,1.29,0.89,1.31,1.26,0.92,1.51,0.75,1.47,1.76,12.27
white-hot,NA,adj,2,adj,adj,0,0,0,0.06,0.12,0.18,0.27,0.54,0.34,0.86,0.66,0.7,1.14,1.03,1.18,1.29,0.59,0.99,0.97,1.35,12.27
quick-witted,rh,adj,2,adj,N-ed,0,0.14,0.44,1,0.3,0.64,1.13,1.18,1.55,1.18,0.88,0.62,0.61,0.49,0.33,0.42,0.25,0.4,0.29,0.37,12.22
high-rise,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,1.29,3.07,2.01,2.51,3.15,12.19
hard-core,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.16,3.09,2.6,0.95,2.79,2.5,12.18
major-league,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,1.83,1.03,1.55,1,0.88,1.11,2.86,1.86,12.12
vis-a-vis,co,noun,3,,,0,0,0.07,0.19,0.79,0.23,0.7,0.69,0.53,0.45,0.13,0.31,0.28,0.37,0.94,1.79,1.3,1.62,1.47,0.24,12.11
table-cloth,rh,adj,2,noun,noun,0,0.43,0.58,0.75,1.09,1.99,1.78,1.03,1.75,0.5,0.79,0.66,0.28,0.16,0,0.21,0.04,0,0.04,0,12.1
half-light,NA,noun,2,adj,noun,0,0,0.07,0,0.3,0.18,0.43,0.25,0.53,0.59,0.75,0.82,0.77,1.23,0.9,1.67,0.92,0.63,1.18,0.78,12
high-grade,rh,adj,2,adj,noun,0,0,0,0,0,0.06,0,0.2,0.34,0.72,0.7,1.99,1.83,2.22,1.26,0.79,0.46,0.55,0.5,0.37,12
ice-cold,so,adj,2,noun,adj,0,0.14,0.15,0.56,0.24,0.23,0.54,0.44,0.34,0.59,0.84,0.66,0.61,0.62,0.77,1.29,0.92,1.34,0.47,1.22,11.98
out-and-out,co,adj,3,prep,prep,0,0,0.15,0,0,0.47,0.48,0.54,0.78,1,1.1,0.94,1.06,0.86,1.26,0.92,0.46,0.71,0.57,0.54,11.84
trade-union,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0.1,0.58,1.31,1.19,0.78,2.15,2.05,1.63,0.71,0.59,0.51,0.21,0,11.82
white-robed,rh,adj,2,adj,N-ed,0,0.58,0.44,0.81,1.27,1,0.97,1.43,0.97,0.81,0.31,0.51,0.37,0.53,0.16,0.25,0.46,0.4,0.25,0.3,11.82
time-worn,so,adj,2,noun,V-ed,0,0.43,1.89,1.5,1.34,0.76,1.24,0.34,0.68,0.68,0.97,0.31,0.41,0.33,0.24,0.13,0.08,0.32,0.11,0.07,11.82
oft-repeated,so,adj,2,adv,V-ed,0,0.14,1.09,0.87,0.91,0.88,0.97,1.08,0.78,0.72,0.75,0.94,0.45,0.49,0.37,0.29,0.25,0.36,0.18,0.27,11.79
high-water,rh,adj,2,adj,noun,0,0,0.36,0.44,0.36,1.11,0.54,0.74,0.87,1.36,1.01,0.97,0.69,0.45,0.73,0.33,0.46,0.36,0.57,0.37,11.75
far-fetched,so,adj,2,adv,V-ed,0,0.29,0.44,0.44,0.49,0.47,0.7,0.34,0.73,0.59,0.75,0.74,0.93,0.7,0.53,0.54,0.55,0.47,0.86,1.18,11.73
second-story,rh,adj,2,num,noun,0,0,0,0.37,0.18,0.29,0.54,0.59,0.63,0.54,0.75,0.86,0.77,1.03,0.53,0.5,0.92,0.87,1.15,1.18,11.71
half-smile,rh,adj,2,adj,noun,0,0,0,0.06,0.12,0.59,0.7,0.44,0.73,0.54,0.57,0.62,0.37,0.99,0.81,0.92,1.18,0.95,1.18,0.91,11.68
small-scale,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0.05,0,0.35,0.23,0.33,0.86,1.22,1.21,1.51,2.33,1.72,1.86,11.67
laissez-faire,rh,adj,2,noun,noun,0,0,0,0,0.42,0.18,0.05,0.15,0.24,0.23,0.97,0.51,1.99,0.66,0.65,1.33,1.26,1.22,1.29,0.51,11.66
ill-tempered,rh,adj,2,adj,N-ed,0,0.14,0.36,0.37,0.61,0.59,1.02,1.38,0.87,0.86,0.53,0.62,0.53,0.37,0.65,0.38,0.76,0.43,0.64,0.47,11.6
high-risk,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.88,1.3,3.04,2.04,4.16,11.46
year-end,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0.05,0.04,0.39,1.95,0.53,0.9,0.92,1.22,2.29,1.65,1.52,11.45
low-down,rh,adj,2,adj,prep,0,0,0,0,0,0.06,0.05,0.54,0.53,0.81,1.41,1.99,1.71,0.82,0.9,0.83,0.92,0.28,0.29,0.3,11.45
tax-exempt,rh,adj,2,noun,v,0,0,0,0,0,0,0,0,0,0,0,1.09,1.18,0.41,0.57,2.17,1.81,2.33,1.47,0.41,11.43
golden-haired,rh,adj,2,adj,N-ed,0,0,0.22,0.25,1.09,0.76,1.51,1.13,0.78,0.36,0.79,0.47,1.14,0.37,0.37,0.38,0.29,0.43,0.57,0.51,11.42
high-profile,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.59,4.04,6.7,11.42
ill-gotten,so,adj,2,adj,V-ed,0,0.14,0.73,1.18,1.7,1,0.97,0.94,0.73,1.04,0.35,0.35,0.12,0.21,0.12,0.38,0.34,0.47,0.25,0.41,11.42
half-finished,so,adj,2,adv,V-ed,0,0,0.29,0.75,0.42,0.53,0.75,0.89,0.58,0.95,0.62,0.35,0.61,0.7,0.69,0.5,0.5,0.4,0.97,0.88,11.38
dried-up,rh,adj,2,V-ed,prep,0,0,0.29,0.44,0.3,0.64,0.54,0.84,0.58,0.32,1.15,0.74,0.65,0.82,0.65,0.71,0.5,0.47,1.11,0.61,11.36
jack-knife,NA,noun,2,noun,noun,0,0.29,0.58,1.43,1.27,1.88,0.65,1.03,1.02,0.5,0.79,1.01,0.16,0.37,0.04,0.04,0.04,0.04,0.04,0,11.19
horror-stricken,so,adj,2,noun,V-ed,0,0.14,0.65,1.81,1.03,1.47,1.24,1.18,0.68,0.45,0.35,0.55,0.49,0.29,0,0.33,0.04,0.16,0.14,0,11.01
absent-mindedly,rh,adj,2,adj,adv,0,0,0,0,0,0.18,0,0.25,0.63,1,1.06,1.13,1.59,1.77,1.26,0.88,0.71,0.16,0.21,0.17,10.98
out-of-door,NA,adj,3,,,0,0,0.07,0.44,0.42,1.11,1.45,1.48,1.6,1.31,0.97,1.05,0.45,0.37,0.2,0,0,0,0,0.03,10.97
horse-drawn,so,adj,2,noun,V-ed,0,0,0,0,0,0.06,0.05,0,0.34,0.18,0.48,1.13,0.37,1.23,1.63,0.92,1.01,1.19,1.22,1.15,10.95
wide-ranging,so,adj,2,adj,V-ing,0,0,0,0,0.06,0,0,0.05,0.05,0.09,0.18,0,0.12,0.16,0.69,1.5,1.89,2.21,1.75,2.16,10.93
low-level,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0.05,0.05,0,0.04,0.16,0.41,0.24,1.13,1.47,2.84,2.22,2.3,10.91
ever-growing,rh,adj,2,adv,V-ing,0,0,0.29,0.44,0.3,0.29,0.54,0.59,0.92,0.59,1.15,0.74,0.45,0.62,0.9,0.5,0.71,0.47,0.72,0.68,10.89
coal-black,so,adj,2,noun,adj,0,0,0.65,1.12,0.73,0.76,0.54,0.39,0.83,1.09,0.57,0.66,0.61,0.53,0.45,0.38,0.34,0.63,0.39,0.17,10.84
tight-lipped,so,adj,2,adj,V-ed,0,0,0,0,0,0,0,0,0,0,0.18,0.78,1.1,1.44,1.34,1.25,1.09,1.5,1.25,0.85,10.78
simple-hearted,rh,adj,2,adj,N-ed,0,0,0.8,0.93,1.58,1.99,1.67,1.18,0.87,0.5,0.4,0.39,0.16,0.12,0.04,0,0.04,0,0.04,0.03,10.75
third-party,rh,adj,2,num,noun,0,0,0,0,0,0,0,0.1,0.39,0.05,0.04,0.27,0.73,0.45,0.57,1.21,1.34,0.67,2.51,2.4,10.73
close-fitting,so,adj,2,adj,V-ing,0,0,0,0.75,0.67,0.59,0.48,0.89,1.17,0.68,0.7,0.97,0.65,0.99,0.41,0.25,0.5,0.16,0.36,0.51,10.72
open-minded,rh,adj,2,adj,N-ed,0,0,0.07,0,0,0.23,0.16,0.15,0.49,1,0.88,0.9,0.61,0.53,0.65,0.58,0.84,0.83,1.29,1.49,10.7
bread-and-butter,co,adj,3,noun,noun,0,0,0.22,0,0.12,0.7,0.97,0.54,0.49,1,0.97,0.7,0.45,0.49,0.65,0.79,0.97,0.91,0.39,0.34,10.7
ill-fitting,so,adj,2,adj,V-ing,0,0,0,0.12,0.18,0.18,0.43,0.74,0.15,0.72,0.97,0.74,0.61,0.74,0.53,0.33,0.92,1.11,0.97,1.25,10.69
hard-won,so,adj,2,adv,V-ed,0,0,0.07,0.12,0.06,0.29,0.65,0.49,0.63,0.36,0.57,0.39,0.45,0.99,0.77,0.67,0.76,1.07,1.25,1.08,10.68
many-sided,rh,adj,2,adj,N-ed,0,0,0,0.37,0.42,0.94,1.19,0.84,0.87,1,1.23,0.74,0.61,0.62,0.45,0.33,0.5,0.24,0.07,0.2,10.63
peace-loving,so,adj,2,noun,V-ing,0,0,0.15,0.31,0.12,0.35,0.27,0.3,0.44,0.36,0.7,1.01,0.85,2.05,1.34,1.17,0.34,0.36,0.21,0.24,10.57
civil-service,rh,adj,2,adj,noun,0,0,0,0,0,0.23,1.51,1.13,0.83,2.08,0.7,0.19,1.02,0.45,0.61,0.58,0.38,0.47,0.18,0.17,10.54
four-footed,rh,adj,2,num,N-ed,0,1.01,0.22,0.69,0.61,0.64,0.75,0.54,0.87,0.72,0.97,0.66,0.12,0.29,0.81,0.71,0.17,0.43,0.11,0.2,10.54
wide-spreading,so,adj,2,adj,V-ing,1.69,0.29,0.94,1.37,0.85,0.64,0.97,0.84,0.73,0.72,0.26,0.62,0.04,0.25,0.12,0.08,0,0.04,0.07,0,10.54
clear-headed,rh,adj,2,adj,N-ed,0,0.14,0.44,0.75,0.79,0.64,1.13,0.94,0.97,1.13,0.75,0.78,0.61,0.16,0.24,0.17,0.17,0.16,0.36,0.17,10.5
tear-stained,so,adj,2,noun,V-ed,0,0,0,0.06,0.12,0.64,0.81,1.43,1.12,1.22,1.28,0.74,0.53,0.45,0.57,0.25,0.38,0.2,0.32,0.34,10.46
long-ago,rh,adj,2,adj,adv,0,0,0,0.12,0.18,0.06,0.22,0.15,0.34,0.09,0.22,0.47,0.16,0.62,0.57,1,0.97,1.07,1.93,2.27,10.43
