word,Composition_types,PoS,N_of_component,PoS_1component,PoS_2component,X1810s,X1820s,X1830s,X1840s,X1850s,X1860s,X1870s,X1880s,X1890s,X1900s,X1910s,X1920s,X1930s,X1940s,X1950s,X1960s,X1970s,X1980s,X1990s,X2000s,total
low-key,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.12,0.42,1.81,2.33,2.18,3.48,10.42
record-breaking,so,adj,2,noun,V-ing,0,0,0,0,0,0,0,0.05,0.34,0.27,0.53,1.29,1.22,1.36,1.34,0.83,0.63,0.67,0.75,1.12,10.4
leave-taking,so,noun,2,noun,V-ing,0,0.14,0.36,0.87,0.85,0.76,0.75,0.79,0.83,1.36,0.88,0.47,0.45,0.33,0.24,0.38,0.25,0.43,0.07,0.17,10.39
to-do,so,noun,2,adv,v,0,0.29,0.22,0,0.3,0.18,0.27,0.3,0.15,0.18,0.44,0.97,0.85,0.94,0.61,0.17,0.55,1.07,0.57,2.3,10.35
wide-brimmed,so,adj,2,adj,V-ed,0,0,0,0.12,0.06,0.29,0.16,0.44,0.29,0.72,0.62,0.62,0.53,0.7,0.53,0.88,0.55,1.22,1.22,1.39,10.34
fast-moving,so,adj,2,adv,V-ing,0,0,0,0,0.06,0,0.05,0.05,0.05,0,0.18,0.08,0.49,1.03,1.18,1.21,1.3,1.11,1.32,2.23,10.34
low-grade,rh,adj,2,adj,noun,0,0,0,0,0,0,0.05,0.2,0.1,0.54,0.62,0.97,0.93,1.72,0.9,0.75,0.67,0.75,1,1.12,10.33
fact-finding,so,adj,2,noun,V-ing,0,0,0,0,0,0,0,0,0,0,0,0.35,0.41,3.49,1.96,1.54,1.13,0.55,0.25,0.64,10.33
ill-defined,so,adj,2,adj,V-ed,0,0,1.09,0.56,0.49,0.64,0.38,0.89,0.83,0.68,0.35,0.47,0.53,0.16,0.37,0.67,0.71,0.71,0.5,0.3,10.32
nice-looking,so,adj,2,adj,V-ing,0,0,0,0.19,0.24,0.35,0.38,0.39,0.29,0.23,0.62,0.62,0.98,0.9,1.14,0.88,0.92,0.63,0.64,0.91,10.32
old-world,rh,adj,2,adj,noun,0,0,0,0.25,0.18,0.59,0.65,1.38,0.83,1.36,1.06,0.74,0.33,0.25,0.57,0.63,0.29,0.16,0.36,0.71,10.31
round-trip,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0.09,0.04,0.16,1.14,0.57,1.02,1.08,1.26,1.46,1.83,1.66,10.31
fifty-fifty,co,adv,2,num,num,0,0,0,0,0,0,0,0,0.05,0.05,0.66,1.64,1.06,1.15,1.59,0.96,1.22,0.71,0.54,0.68,10.29
middle-income,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.63,2.71,2.48,0.99,0.97,1.25,10.27
fast-growing,so,adj,2,adv,V-ing,0,0,0.07,0,0.06,0.18,0.11,0.1,0.1,0.09,0.4,0.23,0.24,0.25,1.1,1,0.92,1.38,2.18,1.86,10.27
clear-eyed,rh,adj,2,adj,N-ed,0,0.14,0,0,0.12,0.53,0.38,0.3,0.53,1.18,1.45,1.13,0.49,0.53,0.41,0.38,0.55,0.99,0.75,0.41,10.26
near-sighted,so,adj,2,adv,V-ed,0,0.29,0.51,0.31,0.3,0.53,1.4,0.69,1.21,0.86,1.01,0.94,0.69,0.49,0.37,0.17,0.17,0.16,0.04,0.1,10.23
rosy-cheeked,rh,adj,2,noun,N-ed,0.85,0.72,0.58,0.75,1.46,0.53,1.08,0.54,0.83,0.5,0.35,0.27,0.28,0.25,0.29,0.29,0.08,0.2,0.14,0.24,10.22
first-time,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.04,0.08,0.25,0.76,1.9,3.04,4.06,10.21
long-winded,so,adj,2,adj,V-ed,0,0.29,0.44,0.12,0.55,0.7,0.59,0.3,0.53,0.45,0.62,0.62,0.61,0.7,1.1,0.42,0.84,0.43,0.29,0.61,10.21
two-party,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0,0.05,1.01,0.39,0.61,1.48,1.75,2.67,1.13,0.55,0.32,0.24,10.2
long-handled,so,adj,2,adj,V-ed,0,0,0.07,0,0.42,0.35,0.48,0.84,0.44,0.54,0.62,0.74,0.69,0.78,0.69,0.92,0.46,0.43,0.72,0.98,10.18
tongue-tied,so,adj,2,noun,V-ed,0,0.14,0.22,0.19,0.18,0.23,0.32,0.25,0.49,0.63,1.06,0.7,0.89,0.78,0.73,0.79,0.8,0.63,0.54,0.57,10.15
front-line,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0,1.19,0.27,0.98,1.77,1.18,0.54,1.3,1.15,0.79,0.95,10.11
off-season,rh,adj,2,prep,noun,0,0,0,0,0,0,0,0,0.05,0,0.04,0.08,0.2,0.12,0.81,0.67,1.68,1.22,2.47,2.71,10.06
modern-day,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0.05,0,0,0.12,0.16,0.29,0.58,0.8,1.3,2.68,4.06,10.04
moss-grown,so,adj,2,noun,V-ed,0,0.58,1.02,1.74,0.91,0.29,0.97,0.84,1.21,1.04,0.35,0.43,0.12,0.04,0.08,0.21,0.04,0.16,0,0,10.04
major-general,so,noun,2,noun,adj,0,0.29,0.94,0.37,0.12,0.88,1.24,1.38,1.21,1.49,0.88,0.27,0.16,0.16,0.29,0,0.13,0.12,0.04,0.03,10.01
state-owned,so,adj,2,noun,V-ed,0,0,0,0,0,0,0,0,0,0,0.35,0.08,0.12,0.37,0.81,1.54,1.13,2.13,2.11,1.35,10.01
horn-rimmed,so,adj,2,noun,V-ed,0,0,0,0,0,0,0,0,0,0,0.26,0.94,0.98,1.36,1.75,1.38,1.01,1.11,0.57,0.64,9.99
heavy-set,rh,adj,2,adj,noun,0,0,0,0,0,0,0.05,0.1,0.05,0.18,0.53,1.13,0.89,2.59,1.3,1.29,0.8,0.51,0.43,0.1,9.96
blue-white,co,adj,2,adj,adj,0,0,0.07,0,0,0.06,0.11,0,0.24,0.27,0.22,0.66,1.22,0.86,2.04,0.5,0.67,0.91,1.04,1.08,9.96
blue-white,co,adj,2,adj,adj,0,0,0.07,0,0,0.06,0.11,0,0.24,0.27,0.22,0.66,1.22,0.86,2.04,0.5,0.67,0.91,1.04,1.08,9.96
red-brick,rh,adj,2,adj,noun,0,0,0.07,0,0.06,0.06,0.11,0.15,0.53,0.32,0.57,0.94,1.34,1.36,0.57,0.67,0.67,0.51,1.15,0.88,9.95
all-embracing,so,adj,2,det,V-ing,0,0.14,0.15,0.37,0.79,0.64,0.48,0.59,0.39,0.91,0.79,0.58,0.57,0.66,0.41,0.63,0.8,0.43,0.39,0.2,9.93
tree-lined,so,adj,2,noun,V-ed,0,0,0,0,0,0,0.27,0,0.15,0.14,0.22,0.23,0.37,0.99,0.73,0.75,0.88,1.42,1.47,2.3,9.91
home-coming,so,noun,2,noun,V-ing,0,0,0,0,0.06,0.59,0.22,1.18,1.02,2.35,1.63,1.56,0.33,0.25,0.41,0.25,0,0.04,0.04,0,9.91
straight-backed,so,adj,2,adv,V-ed,0,0,0,0.06,0.3,0.41,0.16,0.49,0.24,0.5,0.53,0.31,0.61,0.78,1.1,0.83,1.55,0.91,0.5,0.54,9.84
full-size,rh,adj,2,adj,noun,0,0.14,0,0,0,0,0.05,0.05,0,0.05,0.04,0.19,0.45,0.53,0.45,0.54,0.63,1.42,2.58,2.64,9.77
teen-ager,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.21,1.79,2.04,1.89,2.13,1.36,0.3,9.77
wind-swept,so,adj,2,noun,V-ed,0,0.14,0.22,0.06,0.42,0.12,0.22,0.59,0.83,1.04,1.01,1.44,1.02,0.7,0.33,0.38,0.34,0.28,0.29,0.34,9.75
low-priced,rh,adj,2,adj,N-ed,0,0.14,0,0.12,0.12,0.12,0.38,0.25,0.1,0.5,0.44,0.66,0.89,1.4,0.98,0.75,0.63,1.19,0.57,0.47,9.71
half-formed,so,adj,2,adv,V-ed,0,0.43,0.8,0.5,1.03,0.59,0.97,0.54,0.44,1.04,0.4,0.27,0.45,0.49,0.2,0.42,0.25,0.43,0.18,0.2,9.64
close-cropped,so,adj,2,adj,V-ed,0,0,0,0,0,0.18,0.32,0.34,0.29,0.5,1.01,0.51,0.65,0.86,0.65,0.67,0.84,0.87,0.86,1.01,9.57
cross-roads,rh,adj,2,prep,noun,0,0,0.58,0.12,0.36,0.88,1.35,0.89,1.7,1,0.57,0.86,0.53,0.49,0,0.04,0.04,0.04,0.07,0,9.52
world-famous,so,adj,2,noun,adj,0,0,0,0.12,0.06,0.29,0.32,0.2,0.34,0.36,0.44,0.23,0.33,0.9,0.98,0.67,1.01,0.75,1.4,1.08,9.49
fastest-growing,so,adj,2,adv,V-ing,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.16,0.49,1,0.92,1.74,2.58,2.5,9.48
sing-song,rh,adj,2,v,noun,0,0.29,0.07,0.19,0.36,0.41,0.43,0.3,0.44,0.59,0.88,2.03,1.02,0.62,0.24,0.54,0.29,0.2,0.32,0.24,9.45
state-of-the-art,rh,adj,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,1.98,3.76,3.65,9.43
air-raid,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0.04,0.19,0.89,4.56,1.22,1.04,0.46,0.28,0.36,0.37,9.43
long-forgotten,so,adj,2,adj,V-ed,0,0.29,0.58,0.81,0.79,0.47,0.54,0.54,0.49,0.18,0.48,0.55,0.45,0.49,0.12,0.38,0.21,0.79,0.68,0.57,9.41
light-headed,rh,adj,2,noun,N-ed,0,0,0.29,0.19,0.49,0.35,0.7,0.25,0.34,0.86,0.31,0.16,0.73,0.37,0.2,0.33,0.76,0.71,0.89,1.45,9.38
hide-and-seek,co,noun,3,v,v,0,0,0.07,0.44,0.3,0.35,0.54,0.59,0.58,0.72,0.48,0.62,0.33,0.41,0.45,0.33,0.71,0.47,0.86,1.08,9.36
half-witted,rh,adj,2,adj,N-ed,0,0,0.51,0.5,1.52,0.23,0.54,0.39,0.15,0.59,1.23,0.51,0.98,0.86,0.33,0.21,0.21,0.2,0.18,0.03,9.16
hard-line,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,2.35,2.84,1.54,1.62,9.11
day-care,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.38,2.1,2.88,1.97,1.66,9.11
world-class,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.21,1.98,2.9,3.92,9.05
blue-and-white,co,adj,3,adj,adj,0,0,0.07,0,0.06,0.06,0.16,0.15,0.24,0.41,0.79,0.35,0.57,0.45,0.45,0.46,0.97,1.15,1.29,1.42,9.04
medium-high,co,adj,2,adj,adj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.04,0.12,1.97,6.8,9.01
custom-made,so,adj,2,noun,V-ed,0,0,0,0.06,0,0,0,0.1,0.19,0.09,0.09,0.16,0.28,1.07,0.77,0.63,0.59,1.3,1.36,2.3,8.99
snow-capped,so,adj,2,noun,V-ed,0,0.14,0.07,0.5,0.36,0.41,0.54,0.34,0.73,1,0.48,0.82,0.45,0.29,0.61,0.42,0.34,0.63,0.29,0.57,8.99
one-party,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0,0,0,0.04,0.41,0.82,1.47,2.29,1.51,1.19,0.75,0.51,8.98
rough-and-tumble,co,adj,3,adj,adj,0,0,0.51,0.06,0.18,0.47,0.32,0.59,0.29,0.36,0.57,1.36,0.53,0.33,0.45,0.58,0.5,0.43,0.72,0.71,8.98
over-the-counter,rh,adj,3,prep,noun,0,0,0,0,0,0,0,0,0,0.05,0,0.04,0.93,0.25,0.37,0.71,0.5,2.25,1.61,2.27,8.97
bare-headed,rh,adj,2,adj,N-ed,0,0.29,0.87,0.25,0.79,1.11,0.92,0.59,1.07,0.54,0.48,0.62,0.41,0.29,0.08,0.38,0.13,0.12,0.04,0,8.97
happy-go-lucky,co,adj,3,adj,adj,0,0,0,0,0.06,0.23,0.27,0.44,0.58,1.13,1.28,1.01,0.49,0.74,0.77,0.58,0.55,0.08,0.25,0.47,8.95
lend-lease,co,noun,2,v,v,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0.57,0.13,0.29,0.12,0,0.03,8.95
whole-souled,rh,adj,2,adj,N-ed,0,0.29,2.25,0.75,1.09,0.76,0.54,0.3,0.53,1.04,0.48,0.39,0.08,0.08,0.2,0,0.04,0,0,0,8.83
off-duty,rh,adj,2,prep,noun,0,0,0,0,0,0,0,0.05,0,0.05,0,0.12,0.08,0.37,0.81,1.58,2.31,0.95,0.97,1.52,8.81
long-lived,so,adj,2,adv,V-ed,0,0,0.29,0.62,0.36,0.47,0.43,0.3,0.44,0.27,0.13,0.23,0.57,0.49,0.33,0.42,0.59,0.95,1.25,0.64,8.78
hour-long,rh,adj,2,noun,adj,0,0,0,0,0,0.06,0.05,0,0,0.09,0.04,0.04,0.08,0.45,1.26,1.38,1.3,1.5,1.15,1.35,8.76
runner-up,rh,noun,2,noun,prep,0,0,0,0,0,0,0,0,0,0,0,0.35,1.14,0.33,1.22,0.96,1.18,0.83,0.75,1.96,8.72
forward-looking,so,adj,2,adv,V-ing,0,0,0,0.06,0,0,0.11,0,0,0.05,0.44,1.09,1.14,1.03,0.94,1.33,0.59,0.87,0.54,0.54,8.72
mild-mannered,rh,adj,2,adj,N-ed,0,0,0,0,0,0.12,0.11,0.34,0.19,0.45,0.13,0.51,0.45,1.07,0.61,0.63,1.3,1.15,0.75,0.88,8.68
behind-the-scenes,rh,adj,3,,,0,0,0,0,0,0,0,0,0.05,0,0.04,0.08,0.33,0.37,0.98,1,0.92,1.42,1.79,1.69,8.67
top-level,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,2.61,1.46,1.68,0.99,0.5,1.01,8.66
top-level,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,2.61,1.46,1.68,0.99,0.5,1.01,8.66
willy-nilly,co,adv,2,adv,adv,0,0,0,0,0.06,0.06,0.05,0.05,0.34,0.68,0.4,1.05,0.69,0.99,0.81,1.29,0.59,0.55,0.54,0.51,8.66
all-white,so,adj,2,det,adj,0,0,0,0,0,0,0,0,0,0.05,0,0.16,0.04,0.29,1.51,1.88,1.26,1.15,1.18,1.15,8.65
sandy-haired,rh,adj,2,adj,N-ed,0,0,0,0,0.49,0.18,0.38,0,0.29,0.18,0.75,0.35,0.69,0.62,1.22,0.92,0.88,0.59,0.54,0.57,8.64
in-house,rh,adj,2,prep,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,1.13,2.21,2.33,2.77,8.61
high-ceilinged,rh,adj,2,adj,N-ed,0,0,0,0,0,0,0,0,0,0.14,0.31,0.27,0.73,0.78,0.86,0.71,1.43,1.26,0.97,1.08,8.53
ill-bred,so,adj,2,adj,V-ed,0,0.58,0.44,0.37,0.91,0.7,1.4,0.84,0.78,0.32,0.57,0.51,0.33,0.29,0.08,0.04,0.13,0.08,0.04,0.14,8.52
fine-grained,so,adj,2,adj,V-ed,0,0,0.15,1.37,2.25,0.06,0.11,0.2,0.29,0.5,0.13,1.21,0.28,0.25,0.24,0.17,0.21,0.24,0.54,0.34,8.52
free-market,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.04,0.33,0.8,2.21,3.29,1.69,8.49
out-of-state,rh,adj,3,prep,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.25,1.34,1.29,0.92,1.11,1.68,1.79,8.47
foreign-policy,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.62,1.26,1.25,1.51,1.54,1.4,0.78,8.44
stock-still,rh,adj,2,noun,adj,0,0.43,0.22,0.75,0.12,0.35,0.11,0.34,0.29,0.54,1.15,0.66,0.89,0.41,0.16,0.42,0.13,0.32,0.64,0.44,8.38
sweet-scented,rh,adj,2,adj,N-ed,0,0.29,0.51,1.37,1.03,0.59,0.59,0.34,0.87,1.18,0.26,0.35,0.2,0.25,0.12,0.04,0.04,0.12,0.07,0.14,8.37
like-minded,rh,adj,2,prep,N-ed,0,0,0.07,0.06,0.24,0.12,0.38,0.1,0.15,0.05,0.09,0.47,0.33,0.41,0.49,0.71,0.55,1.07,1.5,1.59,8.36
life-threatening,so,adj,2,noun,V-ing,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.04,0.13,0.29,1.26,2.86,3.69,8.33
on-site,rh,adj,2,prep,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.92,0.67,0.95,2.43,3.25,8.3
do-it-yourself,rh,adj,3,v,pron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.58,1.26,1.11,1.25,2,8.3
space-time,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0.05,0,0.16,0.41,1.11,0.69,0.88,1.09,0.83,1.29,1.79,8.29
high-end,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2.43,5.61,8.25
open-ended,so,adj,2,adj,V-ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.12,1.67,1.3,1.03,1.83,2.27,8.25
top-notch,rh,adj,2,noun,noun,0,0,0,0,0.18,0,0,0.05,0.05,0.09,0.31,0.04,1.34,1.15,0.61,0.42,0.46,0.43,1.15,1.96,8.24
one-piece,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0.15,0.27,0.26,0.7,0.85,0.41,0.69,0.58,0.84,0.47,2,0.98,8.22
big-league,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.65,1.48,1.55,1.17,0.92,0.63,0.68,1.12,8.2
raw-boned,rh,adj,2,adj,N-ed,0,0.58,0.58,0.31,0.67,0.35,0.65,0.15,0.68,0.68,0.93,0.9,0.33,0.25,0.24,0.13,0.29,0.36,0.07,0.07,8.19
cut-rate,rh,adj,2,noun,noun,0,0,0,0,0,0.06,0,0,0,0.18,0.04,0.27,0.24,0.9,1.18,1.17,1.13,1.3,0.86,0.81,8.16
small-time,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0.08,0.24,1.07,0.77,0.75,1.81,1.42,0.79,1.22,8.15
life-style,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,2.81,3.36,1.65,0.2,8.15
rank-and-file,co,adj,3,,,0,0,0,0,0.06,0,0,0,0.05,0.05,0,0.04,0.28,0.74,1.55,1,1.22,1.34,0.64,1.15,8.12
all-star,rh,adj,2,det,noun,0,0,0,0,0,0,0,0,0,0.05,0.35,0.23,0.73,0.53,0.33,0.67,0.92,0.91,1.29,2.1,8.11
problem-solving,so,noun,2,noun,V-ing,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.08,0.16,0.79,1.43,1.62,1.83,1.93,8.11
first-round,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.08,0.24,0.29,0.5,1.42,2.29,3.21,8.09
machine-guns,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0.1,0.05,2.55,1.13,1.87,0.99,0.2,0.17,0.59,0.04,0.18,0.2,8.06
in-depth,rh,adj,2,prep,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.33,0.92,1.78,1.75,3.21,8.04
short-range,rh,adj,2,adj,noun,0,0,0,0,0,0,0.05,0,0,0,0.04,0.19,0.12,0.82,1.39,1.54,0.92,1.38,0.75,0.74,7.97
short-range,rh,adj,2,adj,noun,0,0,0,0,0,0,0.05,0,0,0,0.04,0.19,0.12,0.82,1.39,1.54,0.92,1.38,0.75,0.74,7.97
life-saving,so,adj,2,noun,V-ing,0,0,0,0,0,0.12,0.16,0.84,0.68,0.5,1.01,0.66,0.37,0.29,0.37,0.5,0.38,0.4,0.82,0.85,7.93
stiff-necked,rh,adj,2,adj,N-ed,0.85,0.29,0.29,0.25,0.24,0.41,0.27,0.34,0.49,0.41,0.48,0.55,0.49,0.57,0.45,0.42,0.21,0.63,0.14,0.1,7.88
flat-topped,rh,adj,2,adj,N-ed,0,0,0,0.06,0.06,0.18,0.11,0.1,0.34,0.54,1.19,0.9,1.02,0.74,0.65,0.13,0.38,0.51,0.39,0.47,7.76
free-for-all,NA,noun,3,,,0,0,0,0,0,0,0,0,0,0.14,0.18,0.58,1.26,0.7,1.39,0.58,0.59,0.83,0.86,0.64,7.74
epoch-making,so,adj,2,noun,V-ing,0,0,0,0,0,0,0.22,0.44,0.63,1.49,1.41,1.13,0.77,0.66,0.49,0.17,0.08,0.08,0.07,0.1,7.74
long-tailed,rh,adj,2,adj,N-ed,0,0,0.8,0.31,0.79,0.7,0.54,0.25,0.68,0.54,0.31,0.7,0.41,0.25,0.24,0,0.29,0.2,0.54,0.17,7.72
last-ditch,rh,adj,2,adj,noun,0,0,0,0,0,0,0.05,0,0,0.05,0,0.08,0.24,1.31,1.22,1.38,1.01,0.95,0.61,0.81,7.71
good-tempered,rh,adj,2,adj,N-ed,0,0.14,0.36,0.25,0.49,0.41,0.92,0.94,0.87,0.81,0.57,0.43,0.24,0.29,0.16,0.25,0.25,0.24,0.04,0.03,7.7
hit-and-run,co,adj,3,,,0,0,0,0,0,0,0,0,0,0,0.4,0,0.65,0.41,0.73,1,0.71,1.38,0.79,1.56,7.63
attorney-general,so,noun,2,noun,adj,0,0.58,1.09,1.12,0.49,0.06,0.75,0.74,0.63,0.63,0.4,0.16,0.49,0.16,0.04,0.04,0.04,0.2,0,0,7.62
high-energy,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.29,0.2,1.13,0.34,1.19,2.22,2.1,7.54
dead-end,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0.08,0.2,0.41,0.86,0.96,0.88,0.95,1.57,1.62,7.53
mean-spirited,rh,adj,2,noun,N-ed,0.85,0.29,0.29,0.44,0.24,0.35,0.22,0.39,0.29,0.09,0.09,0.08,0.16,0.21,0.12,0.21,0.17,0.71,1.25,1.05,7.49
hurly-burly,co,noun,2,noun,noun,0,0.14,0.51,0.19,0.24,0.35,0.65,0.79,0.53,0.36,0.35,0.51,0.45,0.49,0.45,0.67,0.08,0.32,0.14,0.24,7.46
sure-footed,rh,adj,2,adj,N-ed,0,0.58,0.44,0.19,0.24,0.41,0.27,0.34,0.53,0.27,0.53,0.51,0.41,0.41,0.61,0.29,0.34,0.32,0.43,0.34,7.45
award-winning,so,adj,2,noun,V-ing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.38,0.59,0.75,2.51,3.15,7.45
single-family,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.33,0.24,0.5,0.25,1.78,2.11,2.1,7.43
two-handed,rh,adj,2,num,N-ed,0,0,0.29,0.75,1.15,0.23,0.32,0.15,0.39,0.32,0.18,0.27,0.33,0.37,0.41,0.13,0.5,0.63,0.36,0.64,7.41
stay-at-home,rh,adj,3,,,0,0,0,0,0,0.18,0.22,0.2,0.29,0.09,0.35,0.7,0.2,0.29,0.37,0.33,0.21,0.28,0.86,2.84,7.4
free-will,rh,adj,2,adj,noun,0,0.14,0.73,0.44,0.67,2.46,0.7,0.1,0.49,0.23,0.26,0.23,0.12,0.08,0.04,0.08,0.25,0.24,0.04,0.07,7.37
well-off,so,adj,2,adj,prep,0,0.14,0.07,0.06,0.06,0.18,0.16,0.15,0,0.23,0.22,0.23,0.2,0.16,0.45,0.79,0.76,1.03,1.07,1.39,7.36
pear-shaped,so,adj,2,noun,V-ed,0,0,0.07,0.25,0,0.41,0.22,0.34,0.92,0.72,0.31,0.23,0.65,0.53,0.65,0.21,0.5,0.43,0.29,0.61,7.36
cul-de-sac,rh,adj,3,,,0,0,0.07,0.06,0.12,0.23,0.32,0.25,0.05,0.14,0.35,0.23,0.41,0.21,0.12,0.29,0.46,0.59,1.29,2.13,7.33
worm-eaten,so,adj,2,noun,V-ed,0,0.14,0.73,1,0.55,0.76,0.75,0.49,0.39,0.45,0.48,0.27,0.28,0.33,0.04,0.04,0.29,0.16,0.04,0.1,7.31
nerve-racking,rh,adj,2,noun,V-ing,0,0,0,0,0,0,0,0,0.1,0.63,0.97,1.09,0.57,0.99,0.57,0.54,0.76,0.32,0.21,0.54,7.29
hocus-pocus,co,noun,2,noun,noun,0.85,0,0.65,0,0.12,0.47,0.38,0.05,0.29,0.54,0.22,0.47,0.73,0.49,0.49,0.5,0.34,0.2,0.32,0.17,7.28
fund-raiser,NA,noun,2,noun,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.17,0.71,0.99,2.47,2.84,7.26
dog-eared,rh,adj,2,noun,N-ed,0,0.14,0.15,0.12,0,0.06,0.11,0.15,0.19,0.45,0.53,0.47,0.41,0.41,0.49,0.67,0.5,0.67,0.5,1.22,7.24
down-to-earth,rh,adj,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.66,0.98,0.83,1.05,1.03,0.97,1.59,7.22
strong-willed,rh,adj,2,adj,N-ed,0,0,0,0.06,0.12,0.12,0.27,0.3,0.24,0.14,0.18,0.35,0.28,0.33,0.2,0.42,1.05,1.03,0.93,1.15,7.16
door-to-door,co,adj,3,,,0,0,0,0,0,0,0,0,0,0,0.04,0,0.16,0.66,0.81,1.04,1.13,0.99,1.29,0.95,7.08
ill-informed,so,adj,2,adj,V-ed,1.69,0.14,0.07,0,0.18,0.64,0.27,0.1,0.44,0.18,0.7,0.23,0.2,0.29,0.41,0.33,0.42,0.32,0.21,0.24,7.08
letter-writing,so,noun,2,noun,V-ing,0,0.14,0.44,0.31,0.18,0.64,0.86,0.39,0.44,0.59,0.35,0.43,0.24,0.16,0.24,0.29,0.34,0.36,0.36,0.3,7.08
hand-picked,so,adj,2,noun,V-ed,0,0,0,0,0,0,0,0,0,0.05,0.26,0.43,0.77,1.31,1.39,0.92,0.76,0.51,0.36,0.3,7.06
